time;logid;split;acdcalls;vdn;abncalls;transferred;holdcalls;auxoutoffcalls;i_acdtime;i_acwintime;holdtime;workmode;direction;auxreason;auxoutofftime;i_stafftime;i_availtime;i_auxtime;ansringtime;abntime;holdabncalls;holdacdtime
2021/06/08 14:33:07;2103641;1132;0;;0;0;0;0;0;0;0;50;0;1;0;185;0;185;0;0;0;0
2021/06/05 16:26:39;2107996;1028;0;;0;1;1;5;0;0;36;50;1;5;761;1598;0;1598;0;0;0;0
2021/06/05 16:26:39;2107996;1029;0;;0;0;0;0;0;0;0;50;1;5;0;1598;0;1598;0;0;0;0
2021/06/05 16:26:39;2107996;1030;0;;0;0;0;0;0;0;0;50;1;5;0;1598;0;1598;0;0;0;0
2021/06/05 16:26:39;2107996;1031;0;;0;0;0;0;0;0;0;50;1;5;0;1598;0;1598;0;0;0;0
2021/06/05 16:26:39;2107996;1032;0;;0;0;0;0;0;0;0;50;1;5;0;1598;0;1598;0;0;0;0
2021/06/06 11:13:27;2112597;1035;1;;0;0;0;3;719;18;0;50;1;8;37;805;0;68;3;0;0;0
2021/06/06 11:13:27;2112597;1036;0;;0;0;0;0;0;0;0;50;1;8;0;805;0;68;0;0;0;0
2021/06/06 11:13:27;2112597;1037;0;;0;0;0;0;0;0;0;50;1;8;0;805;0;68;0;0;0;0
2021/06/06 11:13:27;2112597;1038;0;;0;0;0;0;0;0;0;50;1;8;0;805;0;68;0;0;0;0
2021/06/06 11:13:27;2112597;1090;0;;0;0;0;0;0;0;0;50;1;8;0;805;0;68;0;0;0;0
2021/06/08 14:31:49;2112262;1053;0;;0;0;0;0;0;0;0;50;1;8;0;107;29;78;0;0;0;0
2021/06/08 14:31:49;2112262;1231;0;;0;0;0;1;0;0;0;50;1;8;14;107;29;78;0;0;0;0
2021/06/08 14:31:49;2112262;1232;0;;0;0;0;0;0;0;0;50;1;8;0;107;29;78;0;0;0;0
2021/06/08 14:31:49;2112262;1233;0;;0;0;0;0;0;0;0;50;1;8;0;107;29;78;0;0;0;0
2021/06/07 08:30:26;2125919;1165;0;2000444;0;0;0;0;25;0;0;30;2;;0;25;0;0;0;0;0;0
2021/06/07 08:30:26;2125919;1166;0;2000444;0;0;0;0;0;0;0;30;2;;0;25;0;0;0;0;0;0
2021/06/07 08:30:26;2125919;1169;0;2000444;0;0;0;0;0;0;0;30;2;;0;25;0;0;0;0;0;0
2021/06/07 12:24:15;2103495;6300;0;;0;0;0;0;0;0;0;20;0;;0;1451;1451;0;0;0;0;0
2021/06/05 15:52:42;2128294;1048;0;2000153;0;0;0;0;257;0;0;30;2;;0;533;4;272;0;0;0;0
2021/06/07 10:03:05;2107609;1165;0;;0;0;0;0;0;0;0;50;0;0;0;182;0;182;0;0;0;0
2021/06/07 10:03:05;2107609;1166;0;;0;0;0;0;0;0;0;50;0;0;0;182;0;182;0;0;0;0
2021/06/07 10:03:05;2107609;1169;0;;0;0;0;0;0;0;0;50;0;0;0;182;0;182;0;0;0;0
2021/06/08 09:26:39;2117580;1082;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;1084;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;1131;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;1139;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;1140;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;1141;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;1142;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;1143;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;1144;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/08 09:26:39;2117580;6250;0;;0;0;0;0;0;0;0;20;0;;0;369;354;15;0;0;0;0
2021/06/07 15:42:22;2105655;1048;1;;0;0;1;1;107;32;199;50;1;8;103;739;398;166;3;0;0;199
2021/06/07 15:42:22;2105655;1123;1;;0;0;0;0;21;5;0;50;1;8;0;739;398;166;2;0;0;0
2021/06/08 10:20:10;2112721;1057;0;2000250;0;0;0;1;0;60;0;30;2;;12;1208;16;45;0;0;0;0
2021/06/08 10:20:10;2112721;1059;1;2000250;0;0;1;0;570;13;896;30;2;;0;1208;16;45;4;0;0;896
2021/06/07 11:12:23;2112389;1028;0;2000065;0;0;0;0;0;0;0;30;2;;0;713;122;137;0;0;0;0
2021/06/07 11:12:23;2112389;1029;0;2000065;0;0;0;0;454;0;0;30;2;;0;713;122;137;0;0;0;0
2021/06/07 11:12:23;2112389;1030;0;2000065;0;0;0;0;0;0;0;30;2;;0;713;122;137;0;0;0;0
2021/06/07 11:12:23;2112389;1031;0;2000065;0;0;0;0;0;0;0;30;2;;0;713;122;137;0;0;0;0
